,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
16491,2017-02-04T15:00:00Z,04 Feb 15:00,Fraser_Forster,West Ham,Southampton,Sunderland,2.8789544,6.0
17363,2017-05-21T14:00:00Z,21 May 15:00,Borja_Bastón,West Brom,Swansea,0,1.347443,0.0
21482,2017-05-13T16:30:00Z,13 May 17:30,Jose Luis_Mato Sanmartín,Arsenal,Stoke,Southampton,3.5234463,0.0
9757,2017-02-11T15:00:00Z,11 Feb 15:00,James_McClean,West Ham,West Brom,Bournemouth,0.89797544,0.0
8980,2017-01-31T19:45:00Z,31 Jan 19:45,Alex_McCarthy,Swansea,Southampton,West Ham,0.27765018,0.0
7902,2017-01-03T19:45:00Z,03 Jan 19:45,Emerson_Hyndman,Arsenal,Bournemouth,Hull,1.8787751,0.0
21815,2017-04-08T14:00:00Z,08 Apr 15:00,Giannelli_Imbula,Liverpool,Stoke,Hull,1.5035219,0.0
26250,2018-01-02T20:00:00Z,02 Jan 20:00,Christian_Kabasele,Man City,Watford,Southampton,3.3067884,1.0
8382,2016-11-06T14:15:00Z,06 Nov 14:15,Ikechi_Anya,Liverpool,Watford,Leicester,0.040459603,0.0
36517,2017-10-15T12:30:00Z,15 Oct 13:30,Seamus_Coleman,Brighton,Everton,Arsenal,1.416846,0.0
36462,2018-03-03T15:00:00Z,03 Mar 15:00,Craig_Cathcart,West Brom,Watford,Arsenal,0.03020683,0.0
2812,2016-12-10T15:00:00Z,10 Dec 15:00,James_Tomkins,Hull,Crystal Palace,Man United,0.54799646,0.0
6843,2017-01-03T20:00:00Z,03 Jan 20:00,Lee_Grant,Watford,Stoke,Sunderland,0.07969281,2.0
30100,2017-08-26T16:30:00Z,26 Aug 17:30,Michael_Carrick,Leicester,Man United,Stoke,0.007925063,0.0
24362,2017-12-26T15:00:00Z,26 Dec 15:00,Claudio_Yacob,Everton,West Brom,Arsenal,1.040188,0.0
30154,2017-12-23T15:00:00Z,23 Dec 15:00,Sergio_Agüero,Bournemouth,Man City,Newcastle,0.045368165,2.0
21963,2017-03-19T14:15:00Z,19 Mar 14:15,Joshua_Onomah,Southampton,Tottenham,Burnley,0.0484792,0.0
39764,2017-11-28T20:00:00Z,28 Nov 20:00,Marvin_Zeegelaar,Man United,Watford,Tottenham,2.2057462,1.0
7623,2016-11-19T15:00:00Z,19 Nov 15:00,Abel_Hernández,Sunderland,Hull,West Brom,1.1616559,0.0
7165,2017-05-21T14:00:00Z,21 May 15:00,Andy_Carroll,Burnley,West Ham,0,1.1905606,0.0
22226,2016-09-10T14:00:00Z,10 Sep 15:00,Shane_Long,Arsenal,Southampton,Swansea,0.99992096,0.0
12353,2016-11-27T16:30:00Z,27 Nov 16:30,Ander_Herrera,West Ham,Man United,Everton,0.25983495,2.0
6581,2017-05-12T19:00:00Z,12 May 20:00,Hal_Robson-Kanu,Chelsea,West Brom,Swansea,1.4936578,1.0
44428,2017-10-28T14:00:00Z,28 Oct 15:00,Timothy_Fosu-Mensah,West Ham,Crystal Palace,Tottenham,0.13666946,2.0
31850,2018-02-10T15:00:00Z,10 Feb 15:00,Abdoulaye_Doucouré,West Ham,Watford,Everton,4.136358,3.0
16975,2016-12-17T15:00:00Z,17 Dec 15:00,Dael_Fry,Swansea,Middlesbrough,Burnley,0.013322592,0.0
21187,2017-04-27T19:00:00Z,27 Apr 20:00,James_Wilson,Man City,Man United,Bournemouth,0.02772829,0.0
44584,2018-01-01T15:00:00Z,01 Jan 15:00,Jack_Cork,Liverpool,Burnley,Crystal Palace,0.14528072,2.0
32142,2017-09-30T16:30:00Z,30 Sep 17:30,Gabriel Fernando_de Jesus,Chelsea,Man City,Stoke,1.8936701,13.0
35554,2018-02-24T15:00:00Z,24 Feb 15:00,Jon_Flanagan,West Ham,Liverpool,Newcastle,0.0010792911,0.0
34884,2017-11-05T16:30:00Z,05 Nov 16:30,Tiemoué_Bakayoko,Man United,Chelsea,West Brom,0.18792632,3.0
5438,2017-01-21T15:00:00Z,21 Jan 15:00,Maksymilian_Stryjek,West Brom,Sunderland,Tottenham,2.907057,0.0
31716,2017-09-16T11:30:00Z,16 Sep 12:30,Alex_McCarthy,Crystal Palace,Southampton,Man United,1.6294945,0.0
8897,2016-12-14T20:00:00Z,14 Dec 20:00,Leon_Britton,West Brom,Swansea,Middlesbrough,0.29569644,2.0
32749,2017-12-18T20:00:00Z,18 Dec 20:00,Michael_Keane,Swansea,Everton,Chelsea,0.07632825,6.0
2322,2017-04-08T14:00:00Z,08 Apr 15:00,Daniel_Lafferty,Middlesbrough,Burnley,Everton,0.2624523,0.0
22526,2016-09-25T15:00:00Z,25 Sep 16:00,Darren_Randolph,Southampton,West Ham,Middlesbrough,1.6940215,0.0
19230,2017-01-03T19:45:00Z,03 Jan 19:45,Ryan_Allsop,Arsenal,Bournemouth,Hull,2.3073692,0.0
32023,2017-08-21T19:00:00Z,21 Aug 20:00,Brahim_Diaz,Everton,Man City,Bournemouth,0.032890946,0.0
40886,2017-12-02T15:00:00Z,02 Dec 15:00,Mason_Holgate,Huddersfield,Everton,Liverpool,1.9649515,2.0
20846,2017-04-04T18:45:00Z,04 Apr 19:45,Callum_McManaman,Watford,West Brom,Southampton,0.59131724,0.0
37325,2017-12-13T20:00:00Z,13 Dec 20:00,Sofiane_Feghouli,Arsenal,West Ham,Stoke,3.243388,0.0
26186,2018-04-14T14:00:00Z,14 Apr 15:00,Dion_Henry,Brighton,Crystal Palace,Watford,1.4546583,0.0
27869,2017-10-01T11:00:00Z,01 Oct 12:00,Solomon_March,Arsenal,Brighton,Everton,0.08383447,3.0
33533,2018-03-01T19:45:00Z,01 Mar 19:45,Lucas_Pérez,Man City,Arsenal,Brighton,5.5946884,0.0
40728,2017-10-21T14:00:00Z,21 Oct 15:00,Bruno_Martins Indi,Bournemouth,Stoke,Watford,0.2065539,0.0
13268,2017-04-01T14:00:00Z,01 Apr 15:00,Marcos_Rojo,West Brom,Man United,Everton,0.09879923,2.0
12410,2017-04-08T14:00:00Z,08 Apr 15:00,Adlène_Guédioura,Burnley,Watford,Arsenal,2.4292657,0.0
10211,2017-01-31T19:45:00Z,31 Jan 19:45,Gabriel Armando_de Abreu,Watford,Arsenal,Chelsea,1.5388501,1.0
30888,2017-12-16T15:00:00Z,16 Dec 15:00,José Heriberto_Izquierdo Mena,Burnley,Brighton,Watford,1.2429373,1.0
10474,2016-12-17T15:00:00Z,17 Dec 15:00,Reece_Oxford,Hull,West Ham,Swansea,2.4831412,0.0
3094,2017-04-23T15:30:00Z,23 Apr 16:30,Ben_Wynter,Liverpool,Crystal Palace,Burnley,0.7612473,0.0
40434,2017-09-30T14:00:00Z,30 Sep 15:00,Lukasz_Fabianski,West Ham,Swansea,Huddersfield,1.8169026,6.0
29220,2018-03-31T14:00:00Z,31 Mar 15:00,Lewis_Cook,Watford,Bournemouth,Crystal Palace,2.8868344,2.0
2220,2016-09-24T14:00:00Z,24 Sep 15:00,Franck_Tabanou,Man City,Swansea,Liverpool,1.063684,0.0
25998,2018-02-03T15:00:00Z,03 Feb 15:00,Sofiane_Boufal,West Brom,Southampton,Liverpool,0.71054405,1.0
1694,2016-12-04T16:00:00Z,04 Dec 16:00,Marcus_Rashford,Everton,Man United,Tottenham,0.8609657,1.0
22349,2016-12-31T15:00:00Z,31 Dec 15:00,Sergio_Romero,Middlesbrough,Man United,West Ham,0.121591955,0.0
1804,2016-10-29T11:30:00Z,29 Oct 12:30,Nacho_Monreal,Sunderland,Arsenal,Tottenham,0.11243403,2.0
5436,2017-01-02T15:00:00Z,02 Jan 15:00,Maksymilian_Stryjek,Liverpool,Sunderland,Stoke,1.1048646,0.0
9524,2016-09-24T14:00:00Z,24 Sep 15:00,Grant_Leadbitter,Tottenham,Middlesbrough,West Ham,1.2345378,0.0
41781,2017-08-12T11:30:00Z,12 Aug 12:30,Andrew_Robertson,Watford,Liverpool,Crystal Palace,5.9760637,9.0
24734,2018-04-28T14:00:00Z,28 Apr 15:00,Aaron_Mooy,Everton,Huddersfield,Man City,0.48171458,3.0
4359,2017-02-25T15:00:00Z,25 Feb 15:00,David_Nugent,Crystal Palace,Middlesbrough,Stoke,0.0118817985,0.0
29145,2018-01-13T15:00:00Z,13 Jan 15:00,Jeff_Hendrick,Crystal Palace,Burnley,Man United,2.404389,2.0
37165,2017-10-21T14:00:00Z,21 Oct 15:00,Daley_Blind,Huddersfield,Man United,Tottenham,0.5481744,0.0
23952,2017-12-26T15:00:00Z,26 Dec 15:00,Joel_Coleman,Stoke,Huddersfield,Burnley,1.2773056,0.0
24892,2018-05-13T14:00:00Z,13 May 15:00,Ben_Johnson,Everton,West Ham,0,1.4096622,0.0
8910,2017-03-18T17:30:00Z,18 Mar 17:30,Leon_Britton,Bournemouth,Swansea,Middlesbrough,2.2552724,0.0
39228,2018-01-01T15:00:00Z,01 Jan 15:00,Jonjo_Shelvey,Stoke,Newcastle,Swansea,1.0070786,2.0
28536,2018-03-10T15:00:00Z,10 Mar 15:00,James_Collins,Burnley,West Ham,Man United,0.023143947,0.0
