first_name,second_name,actual,predicted,element_type,diff
James,Ward-Prowse,8,8.0148735,3,0.014873504638671875
Oriol,Romeu Vidal,10,10.012432,3,0.012432098388671875
Pierre-Emile,HÃ¸jbjerg,33,32.969765,3,0.03023529052734375
Sofiane,Boufal,0,0.0073464215,3,0.007346421480178833
Joshua,Sims,0,0.010249257,3,0.01024925708770752
Nathan,Redmond,34,33.936356,3,0.0636444091796875
Shane,Long,14,14.002451,4,0.0024509429931640625
Charlie,Austin,18,18.03199,4,0.03199005126953125
Manolo,Gabbiadini,22,21.994787,4,0.0052127838134765625
Mario,Lemina,34,34.0403,3,0.0402984619140625
Wesley,Hoedt,29,29.084074,2,0.08407402038574219
Michael,Obafemi,7,7.0025716,4,0.002571582794189453
Guido,Carrillo,0,0.010249257,4,0.01024925708770752
Kurt,Zouma,33,32.95798,2,0.042018890380859375
Lee,Grant,0,0.010249257,1,0.01024925708770752
Xherdan,Shaqiri,47,46.43921,3,0.560791015625
Ramadan,Sobhi,3,3.0149047,3,0.01490473747253418
Lukasz,Fabianski,62,62.063828,1,0.0638275146484375
Federico,FernÃ¡ndez,40,40.396046,2,0.3960456848144531
Alfie,Mawson,6,5.9836473,2,0.01635265350341797
Sung-yueng,Ki,17,17.141462,3,0.1414623260498047
Jordan,Ayew,18,18.173939,4,0.17393875122070312
Tammy,Abraham,0,0.047152996,4,0.04715299606323242
Fernando,Llorente,2,2.0038505,4,0.0038504600524902344
Hugo,Lloris,47,46.73886,1,0.261138916015625
Michel,Vorm,5,5.0025635,1,0.0025634765625
Toby,Alderweireld,44,44.50019,2,0.5001907348632812
Danny,Rose,31,31.004616,2,0.00461578369140625
Jan,Vertonghen,21,21.005623,2,0.00562286376953125
Ben,Davies,23,23.096478,2,0.09647750854492188
Kieran,Trippier,65,65.07103,2,0.0710296630859375
Eric,Dier,37,37.1851,3,0.18510055541992188
Mousa,DembÃ©lÃ©,14,14.010486,3,0.010485649108886719
Erik,Lamela,42,41.969948,3,0.03005218505859375
Christian,Eriksen,44,44.193214,3,0.19321441650390625
Bamidele,Alli,39,38.453247,3,0.5467529296875
Victor,Wanyama,6,6.00228,3,0.0022802352905273438
Heung-Min,Son,37,36.975487,3,0.02451324462890625
Harry,Winks,17,17.1353,3,0.1352996826171875
Moussa,Sissoko,26,26.933598,3,0.9335975646972656
Harry,Kane,85,85.42437,4,0.42436981201171875
Kyle,Walker-Peters,0,0.010249257,2,0.01024925708770752
