yellow_cards,goals_conceded,saves,influence,goals_scored,id,first_name,own_goals,creativity,end_cost,ict_index,season,total_points,penalties_missed,start_cost,element_code,bonus,season_name,clean_sheets,assists,ea_index,penalties_saved,minutes,bps,element_type,threat,team,red_cards,second_name
1,16,0,120.4,2,44,Lys,0,69.5,49,43.9,12,36,0,50,178304,3,2017/18,1,0,0,0,581,106,4,252.0,91,0,Mousset
0,0,0,0.0,0,45,Joshua,0,0.0,50,0.0,5,0,0,50,78007,0,2010/11,0,0,0,0,0,0,4,0.0,91,0,King
1,39,0,0.0,6,45,Joshua,0,0.0,43,0.0,10,98,0,50,78007,7,2015/16,3,3,321,0,1914,273,4,0.0,91,0,King
1,54,0,835.2,16,45,Joshua,0,474.6,62,231.6,11,178,1,55,78007,17,2016/17,9,3,0,0,2714,553,4,1007.0,91,0,King
3,38,0,577.0,8,45,Joshua,0,556.7,70,203.7,12,110,0,75,78007,10,2017/18,7,4,0,0,2450,381,4,902.0,91,0,King
2,29,0,0.0,10,46,Jermain,0,0.0,78,0.0,1,109,1,85,7958,14,2006/07,0,2,0,0,1935,0,4,0.0,91,0,Defoe
5,27,0,0.0,12,46,Jermain,0,0.0,76,0.0,2,104,1,80,7958,9,2007/08,0,3,0,0,1605,0,4,0.0,91,0,Defoe
4,34,0,0.0,11,46,Jermain,0,0.0,79,0.0,3,113,1,80,7958,13,2008/09,0,4,0,0,2056,0,4,0.0,91,0,Defoe
3,25,0,0.0,18,46,Jermain,0,0.0,89,0.0,4,150,1,85,7958,8,2009/10,0,5,0,0,2555,0,4,0.0,91,1,Defoe
0,17,0,0.0,4,46,Jermain,0,0.0,83,0.0,5,56,1,90,7958,3,2010/11,4,2,0,0,1479,0,4,0.0,91,1,Defoe
2,18,0,0.0,11,46,Jermain,0,0.0,80,0.0,6,92,0,85,7958,8,2011/12,4,2,245,0,1301,0,4,0.0,91,0,Defoe
4,30,0,0.0,11,46,Jermain,0,0.0,78,0.0,7,124,0,75,7958,10,2012/13,10,5,348,0,2411,0,4,0.0,91,0,Defoe
1,5,0,0.0,1,46,Jermain,0,0.0,79,0.0,8,21,0,85,7958,1,2013/14,0,0,91,0,432,18,4,0.0,91,0,Defoe
1,19,0,0.0,4,46,Jermain,0,0.0,48,0.0,9,61,0,60,7958,6,2014/15,7,2,226,0,1451,185,4,0.0,91,0,Defoe
3,45,0,0.0,15,46,Jermain,0,0.0,54,0.0,10,138,0,55,7958,15,2015/16,5,2,595,0,2550,482,4,0.0,91,0,Defoe
1,63,0,630.4,15,46,Jermain,0,274.5,74,227.0,11,166,0,70,7958,24,2016/17,6,3,0,0,3322,529,4,1379.0,91,0,Defoe
1,21,0,209.4,4,46,Jermain,0,144.9,76,88.9,12,60,0,80,7958,5,2017/18,2,2,0,0,1075,191,4,539.0,91,0,Defoe
0,54,124,911.6,0,47,Mathew,0,0.0,46,91.1,12,146,0,45,131897,13,2017/18,10,0,0,2,3420,726,1,0.0,36,0,Ryan
7,54,0,1002.8,1,48,Lewis,4,147.8,45,157.9,12,97,0,45,83299,7,2017/18,10,1,0,0,3420,637,2,425.0,36,0,Dunk
0,0,0,0.0,0,49,Shane,0,0.0,44,0.0,4,0,0,45,61933,0,2009/10,0,0,0,0,0,0,2,0.0,36,0,Duffy
0,0,0,0.0,0,49,Shane,0,0.0,45,0.0,5,0,0,45,61933,0,2010/11,0,0,0,0,0,0,2,0.0,36,0,Duffy
0,3,0,0.0,0,49,Shane,0,0.0,47,0.0,6,6,0,50,61933,0,2011/12,0,0,6,0,213,0,2,0.0,36,0,Duffy
0,0,0,0.0,0,49,Shane,0,0.0,42,0.0,7,1,0,45,61933,0,2012/13,0,0,0,0,1,0,2,0.0,36,0,Duffy
0,0,0,0.0,0,49,Shane,0,0.0,38,0.0,8,0,0,40,61933,0,2013/14,0,0,0,0,0,0,2,0.0,36,0,Duffy
0,0,0,0.0,0,49,Shane,0,0.0,40,0.0,9,0,0,40,61933,0,2014/15,0,0,0,0,0,0,2,0.0,36,0,Duffy
8,52,0,1027.6,0,49,Shane,0,98.9,46,148.9,12,100,0,45,61933,7,2017/18,10,2,0,0,3292,614,2,361.0,36,0,Duffy
3,23,0,360.4,0,50,Bruno,0,174.1,45,57.2,12,84,0,45,11352,8,2017/18,10,0,0,0,2014,423,2,35.0,36,0,Saltor Grau
2,36,0,346.2,0,51,Gaëtan,1,154.6,44,52.1,12,63,0,45,42748,5,2017/18,6,0,0,0,2237,369,2,18.0,36,0,Bong
0,18,0,187.4,0,52,Markus,0,105.6,42,30.8,12,38,0,45,43808,3,2017/18,4,0,0,0,1178,204,2,17.0,36,0,Suttner
3,30,0,210.0,0,53,Ezequiel,0,99.2,44,38.2,12,20,0,45,74375,0,2017/18,0,0,0,0,1313,183,2,73.0,36,0,Schelotto
0,4,0,0.0,0,55,Anthony,0,0.0,50,0.0,9,13,0,55,83543,0,2014/15,1,0,39,0,335,38,3,0.0,36,0,Knockaert
0,0,0,0.0,0,55,Anthony,0,0.0,45,0.0,10,0,0,45,83543,0,2015/16,0,0,0,0,0,0,3,0.0,36,0,Knockaert
4,29,0,404.0,3,55,Anthony,0,557.2,55,149.1,12,88,0,60,83543,6,2017/18,11,1,0,0,2415,383,3,530.0,36,1,Knockaert
6,50,0,625.8,0,56,Dale,0,272.5,45,107.7,12,87,0,45,40845,2,2017/18,10,3,0,0,3240,550,3,176.0,36,0,Stephens
2,14,0,111.2,0,57,Beram,0,137.0,44,29.6,12,25,0,45,38490,0,2017/18,1,0,0,0,735,115,3,48.0,36,0,Kayal
3,29,0,357.4,1,58,Solomon,0,320.9,48,99.8,12,74,0,50,109345,3,2017/18,6,3,0,0,1838,303,3,316.0,36,0,March
2,46,0,735.4,7,59,Pascal,0,1311.0,59,257.6,12,164,0,55,60307,24,2017/18,10,8,0,0,2928,635,3,527.0,36,0,Groß
2,50,0,535.8,0,60,Davy,0,297.1,53,108.9,12,87,0,55,66242,1,2017/18,9,4,0,0,3118,446,3,255.0,36,1,Pröpper
2,32,0,385.4,5,61,José Heriberto,0,311.3,59,131.3,12,101,0,60,167473,4,2017/18,5,5,0,0,1976,324,3,618.0,36,0,Izquierdo Mena
1,5,0,0.0,1,62,Glenn,0,0.0,52,0.0,8,26,0,55,20529,0,2013/14,1,2,58,0,402,23,4,0.0,36,0,Murray
3,11,0,0.0,7,62,Glenn,0,0.0,45,0.0,9,70,1,55,20529,10,2014/15,1,5,287,0,868,197,4,0.0,36,1,Murray
2,18,0,0.0,3,62,Glenn,0,0.0,53,0.0,10,36,1,60,20529,0,2015/16,2,0,175,0,802,98,4,0.0,36,0,Murray
9,36,0,492.4,12,62,Glenn,0,271.8,59,153.1,12,111,2,60,20529,16,2017/18,8,0,0,0,2184,319,4,779.0,36,0,Murray
0,8,0,152.0,2,63,Tomer,0,66.1,46,44.2,12,43,0,50,38499,5,2017/18,3,2,0,0,842,110,4,227.0,36,0,Hemed
0,0,0,0.0,0,64,Sam,0,0.0,45,0.0,7,0,0,45,28462,0,2012/13,0,0,0,0,0,0,4,0.0,36,0,Baldock
0,1,0,0.4,0,64,Sam,0,0.8,49,0.7,12,2,0,50,28462,0,2017/18,0,0,0,0,30,4,4,6.0,36,0,Baldock
0,8,0,50.4,1,65,Jürgen,0,24.6,60,15.8,12,16,0,60,106757,2,2017/18,1,1,0,0,221,47,4,89.0,36,0,Locadia
0,0,0,0.0,0,179,David,0,0.0,39,0.0,4,0,0,40,50093,0,2009/10,0,0,0,0,0,0,1,0.0,36,0,Button
0,0,0,0.0,0,439,Jason,0,0.0,40,0.0,2,0,0,40,49262,0,2007/08,0,0,0,0,0,0,1,0.0,36,0,Steele
0,0,0,0.0,0,439,Jason,0,0.0,40,0.0,3,0,0,40,49262,0,2008/09,0,0,0,0,0,0,1,0.0,36,0,Steele
0,0,0,0.0,0,67,Tom,0,0.0,48,0.0,1,0,0,48,21205,0,2006/07,0,0,0,0,0,0,1,0.0,90,0,Heaton
0,0,0,0.0,0,67,Tom,0,0.0,40,0.0,2,0,0,40,21205,0,2007/08,0,0,0,0,0,0,1,0.0,90,0,Heaton
1,53,127,0.0,0,67,Tom,0,0.0,47,0.0,9,150,0,45,21205,11,2014/15,10,0,339,2,3420,615,1,0.0,90,0,Heaton
1,48,142,1001.6,0,67,Tom,0,30.3,51,103.2,11,149,0,45,21205,21,2016/17,10,0,0,1,3150,741,1,0.0,90,0,Heaton
0,4,8,53.4,0,67,Tom,0,0.0,47,5.3,12,8,0,50,21205,0,2017/18,0,0,0,0,305,48,1,0.0,90,0,Heaton
0,0,0,0.0,0,68,Nick,0,0.0,39,0.0,11,0,0,40,98747,0,2016/17,0,0,0,0,0,0,1,0.0,90,0,Pope
3,35,113,862.4,0,68,Nick,0,40.0,50,90.1,12,152,0,45,98747,19,2017/18,11,0,0,1,3114,701,1,0.0,90,0,Pope
10,66,0,0.0,2,69,Matthew,0,0.0,45,0.0,7,93,0,45,68983,9,2012/13,5,4,410,0,3266,0,2,0.0,90,0,Lowton
4,36,0,0.0,0,69,Matthew,0,0.0,42,0.0,8,43,0,50,68983,3,2013/14,2,3,162,0,1664,69,2,0.0,90,0,Lowton
2,13,0,0.0,0,69,Matthew,0,0.0,40,0.0,9,26,0,45,68983,0,2014/15,2,1,89,0,756,132,2,0.0,90,0,Lowton
9,53,0,770.6,0,69,Matthew,0,491.5,45,134.2,11,90,0,45,68983,5,2016/17,9,2,0,0,3240,631,2,80.0,90,0,Lowton
1,26,0,574.6,0,69,Matthew,0,264.9,44,89.0,12,89,0,45,68983,4,2017/18,8,3,0,0,2295,450,2,46.0,90,0,Lowton
10,44,0,0.0,2,70,Ben,0,0.0,45,0.0,9,93,0,45,51927,2,2014/15,9,1,333,0,2888,465,2,0.0,90,0,Mee
5,49,0,890.0,1,70,Ben,2,93.7,44,126.7,11,94,0,45,51927,6,2016/17,9,2,0,0,3015,592,2,281.0,90,0,Mee
5,27,0,748.6,0,70,Ben,0,74.5,49,117.3,12,90,0,45,51927,6,2017/18,9,0,0,0,2610,491,2,349.0,90,0,Mee
2,21,0,0.0,0,71,Stephen,0,0.0,43,0.0,4,36,0,45,40616,0,2009/10,0,1,0,0,1573,0,2,0.0,90,1,Ward
2,49,0,0.0,1,71,Stephen,0,0.0,44,0.0,5,66,0,45,40616,3,2010/11,2,2,0,0,2396,0,2,0.0,90,0,Ward
2,82,0,0.0,3,71,Stephen,0,0.0,42,0.0,6,87,0,45,40616,11,2011/12,4,0,386,0,3420,0,2,0.0,90,0,Ward
3,11,0,0.0,0,71,Stephen,0,0.0,45,0.0,9,14,0,45,40616,0,2014/15,1,0,75,0,624,98,2,0.0,90,0,Ward
5,53,0,644.6,1,71,Stephen,0,409.9,45,118.3,11,91,0,45,40616,3,2016/17,8,1,0,0,3230,596,2,128.0,90,0,Ward
1,27,0,498.4,1,71,Stephen,0,270.9,48,85.4,12,102,0,45,40616,9,2017/18,9,1,0,0,2460,484,2,82.0,90,0,Ward
1,11,0,146.2,0,72,James,0,53.4,40,27.5,11,23,0,40,17761,0,2016/17,1,0,0,0,568,111,2,81.0,90,0,Tarkowski
5,30,0,822.0,0,72,James,0,98.4,46,117.8,12,101,0,45,17761,4,2017/18,11,1,0,0,2790,539,2,253.0,90,0,Tarkowski
0,1,0,0.0,0,73,Kevin,0,0.0,38,0.0,9,1,0,40,41674,0,2014/15,0,0,1,0,20,4,2,0.0,90,0,Long
0,6,0,56.4,0,73,Kevin,0,0.2,40,6.1,11,3,0,40,41674,0,2016/17,0,0,0,0,270,39,2,4.0,90,0,Long
1,21,0,460.0,1,73,Kevin,1,64.8,41,74.5,12,57,0,40,41674,6,2017/18,4,2,0,0,1440,282,2,220.0,90,0,Long
3,12,0,184.2,0,74,Charlie,0,86.8,42,27.5,12,23,0,45,103914,0,2017/18,2,0,0,0,949,132,2,4.0,90,0,Taylor
1,11,0,0.0,0,75,Phil,0,0.0,48,0.0,1,46,0,50,17997,0,2006/07,0,1,0,0,1145,0,2,0.0,90,0,Bardsley
3,10,0,0.0,0,75,Phil,0,0.0,41,0.0,2,34,0,45,17997,1,2007/08,0,0,0,0,990,0,2,0.0,90,0,Bardsley
11,40,0,0.0,0,75,Phil,0,0.0,43,0.0,3,57,0,45,17997,1,2008/09,0,0,0,0,2459,0,2,0.0,90,0,Bardsley
8,34,0,0.0,0,75,Phil,0,0.0,43,0.0,4,38,0,45,17997,0,2009/10,0,0,0,0,1704,0,2,0.0,90,0,Bardsley
5,45,0,0.0,3,75,Phil,0,0.0,49,0.0,5,123,0,45,17997,5,2010/11,13,2,0,0,2820,0,2,0.0,90,0,Bardsley
3,32,0,0.0,1,75,Phil,0,0.0,47,0.0,6,97,0,50,17997,4,2011/12,9,3,267,0,2474,0,2,0.0,90,1,Bardsley
5,22,0,0.0,1,75,Phil,0,0.0,44,0.0,7,26,0,50,17997,1,2012/13,1,0,86,0,984,0,2,0.0,90,0,Bardsley
9,41,0,0.0,2,75,Phil,2,0.0,43,0.0,8,71,0,45,17997,7,2013/14,7,1,276,0,2245,95,2,0.0,90,0,Bardsley
6,29,0,0.0,0,75,Phil,0,0.0,49,0.0,9,66,0,50,17997,7,2014/15,5,2,271,0,2082,326,2,0.0,90,0,Bardsley
1,18,0,0.0,0,75,Phil,0,0.0,42,0.0,10,20,0,45,17997,2,2015/16,0,2,107,0,817,149,2,0.0,90,0,Bardsley
4,17,0,155.0,0,75,Phil,0,146.7,42,35.4,11,27,0,45,17997,0,2016/17,3,0,0,0,1168,174,2,51.0,90,1,Bardsley
5,13,0,229.4,0,75,Phil,0,117.5,40,38.3,12,33,0,45,17997,0,2017/18,4,0,0,0,1125,193,2,35.0,90,0,Bardsley
1,19,0,220.0,1,76,Johann Berg,0,267.3,48,64.8,11,47,0,55,60586,3,2016/17,3,3,0,0,999,187,3,161.0,90,0,Gudmundsson
2,33,0,599.0,2,76,Johann Berg,0,1052.0,50,219.2,12,117,0,50,60586,7,2017/18,10,9,0,0,2831,467,3,539.0,90,0,Gudmundsson
1,13,0,249.2,1,77,Steven,0,386.4,56,73.3,11,54,0,60,39847,6,2016/17,5,3,0,0,1068,245,3,96.0,90,0,Defour
6,17,0,353.8,1,77,Steven,0,310.8,54,78.4,12,62,0,55,39847,0,2017/18,12,1,0,0,1998,353,3,117.0,90,0,Defour
6,47,0,284.6,2,78,Jeff,0,234.4,53,77.4,11,76,0,55,83314,1,2016/17,9,1,0,0,2691,286,3,259.0,90,1,Hendrick
1,28,0,265.6,2,78,Jeff,0,408.2,54,100.9,12,85,0,55,83314,1,2017/18,9,2,0,0,2326,307,3,335.0,90,0,Hendrick
2,13,0,0.0,3,79,Robbie,0,0.0,46,0.0,8,51,0,50,90517,8,2013/14,2,1,173,0,891,50,3,0.0,90,0,Brady
2,23,0,0.0,0,79,Robbie,0,0.0,44,0.0,9,59,0,50,90517,5,2014/15,6,2,255,0,1762,290,3,0.0,90,0,Brady
3,57,0,0.0,3,79,Robbie,0,0.0,54,0.0,10,111,0,55,90517,13,2015/16,5,4,427,0,2984,577,3,0.0,90,0,Brady
1,11,0,151.2,1,79,Robbie,0,253.0,55,51.6,11,39,0,55,90517,4,2016/17,1,3,0,0,719,143,3,116.0,90,0,Brady
3,12,0,273.8,1,79,Robbie,0,477.9,53,97.3,12,56,0,55,90517,7,2017/18,6,4,0,0,1277,216,3,221.0,90,0,Brady
